antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Organic Baby Spinach'}),frozenset({'Bag of Organic Bananas'}),0.05747468731387731,0.09701778269378031,0.011380073172806943,0.19800148038490006,2.0408782275498623,1.0,0.005804006448596223,1.1259150674487335,0.5411152943260842,0.07951843043995245,0.11183353974829621,0.15765015917951428
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Baby Spinach'}),0.09701778269378031,0.05747468731387731,0.011380073172806943,0.11729883797412849,2.0408782275498623,1.0,0.005804006448596223,1.0677739570694003,0.5648116343923297,0.07951843043995245,0.06347219523447818,0.15765015917951428
frozenset({'Organic Hass Avocado'}),frozenset({'Bag of Organic Bananas'}),0.05322045435208032,0.09701778269378031,0.015208882838424233,0.2857713828936851,2.9455567315496434,1.0,0.01004555236322985,1.26427616547295,0.6976340038303642,0.11263390044108382,0.2090335740641663,0.2212676252332929
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Hass Avocado'}),0.09701778269378031,0.05322045435208032,0.015208882838424233,0.1567638675729007,2.9455567315496434,1.0,0.01004555236322985,1.1227929037181907,0.7314713319000615,0.11263390044108382,0.10936380459081574,0.2212676252332929
frozenset({'Organic Raspberries'}),frozenset({'Bag of Organic Bananas'}),0.03354462690376925,0.09701778269378031,0.010082532119458861,0.300570703868104,3.0980990857810364,1.0,0.006828106795965039,1.2910271592855018,0.7007270552497912,0.0836864406779661,0.22542295659106518,0.20224764090576874
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Raspberries'}),0.09701778269378031,0.03354462690376925,0.010082532119458861,0.10392457794343346,3.0980990857810364,1.0,0.006828106795965039,1.078542441079498,0.7499831277301892,0.0836864406779661,0.07282276347037953,0.20224764090576874
frozenset({'Organic Strawberries'}),frozenset({'Bag of Organic Bananas'}),0.06462179868969625,0.09701778269378031,0.014549476729345699,0.22514812376563526,2.3206892336044826,1.0,0.00828001310678753,1.1653610773900998,0.6084100865556653,0.09891540130151844,0.14189685977880487,0.18755761812048483
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Strawberries'}),0.09701778269378031,0.06462179868969625,0.014549476729345699,0.14996711247533437,2.3206892336044826,1.0,0.00828001310678753,1.1004023668239091,0.6302378070292531,0.09891540130151844,0.09124150388162139,0.18755761812048483
frozenset({'Organic Avocado'}),frozenset({'Banana'}),0.04198927933293627,0.12564877052667403,0.012805241215008934,0.3049645390070922,2.4271191650247874,1.0,0.0075293398915244085,1.2579951362830506,0.613760266524289,0.08270366808627559,0.2050843670551373,0.20343876180082052
frozenset({'Banana'}),frozenset({'Organic Avocado'}),0.12564877052667403,0.04198927933293627,0.012805241215008934,0.10191298459454885,2.4271191650247874,1.0,0.0075293398915244085,1.0667237185636844,0.6724859477854502,0.08270366808627559,0.06255014058703608,0.20343876180082052
frozenset({'Banana'}),frozenset({'Organic Baby Spinach'}),0.12564877052667403,0.05747468731387731,0.011741682974559686,0.09344845099035043,1.6259062094590504,1.0,0.004520059177165973,1.0396819835736557,0.4402788722412908,0.06851185304703984,0.03816742446306374,0.14887078360028255
frozenset({'Organic Baby Spinach'}),frozenset({'Banana'}),0.05747468731387731,0.12564877052667403,0.011741682974559686,0.20429311621021465,1.6259062094590506,1.0,0.004520059177165973,1.0988358242032217,0.4084329280857201,0.06851185304703984,0.08994594281169228,0.14887078360028255
frozenset({'Organic Strawberries'}),frozenset({'Banana'}),0.06462179868969625,0.12564877052667403,0.013188122181570663,0.2040816326530612,1.6242230767370431,1.0,0.005068472626988094,1.0985438524152045,0.4108723336517033,0.07447447447447449,0.08970406797921697,0.15452092467256073
frozenset({'Banana'}),frozenset({'Organic Strawberries'}),0.12564877052667403,0.06462179868969625,0.013188122181570663,0.10496021669206028,1.6242230767370434,1.0,0.005068472626988094,1.04506885476451,0.4395499330981633,0.07447447447447449,0.04312524917285527,0.15452092467256073
