department,reordered
alcohol,0.5699237455756818
babies,0.5789708401564881
bakery,0.6281408615152955
beverages,0.6534601128793452
breakfast,0.5609221936133061
bulk,0.577039886616724
canned goods,0.4574049349379903
dairy eggs,0.6699686517365298
deli,0.6077190085317561
dry goods pasta,0.4610761030985649
frozen,0.5418854675661947
household,0.40217770954666926
international,0.36922894081031593
meat seafood,0.5676744281178281
missing,0.3958493021910478
other,0.4079799399300102
pantry,0.3467205025440171
personal care,0.32112863798104774
pets,0.6012852523433343
produce,0.6499125303780631
snacks,0.5741798410417136
